City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Kolokani,13.5728,-8.0339,73.94,80,67,5.93,ML,2021-09-24 01:54:45
237,Honiara,-9.4333,159.95,83.5,76,57,5.59,SB,2021-09-24 01:54:45
238,Kovernino,57.1253,43.8142,47.28,96,100,8.77,RU,2021-09-24 01:54:45
239,Constitucion,-35.3333,-72.4167,54.59,74,0,6.87,CL,2021-09-24 01:53:07
240,Souillac,-20.5167,57.5167,71.98,83,75,11.5,MU,2021-09-24 01:54:47
241,Coihaique,-45.5752,-72.0662,49.95,76,75,5.75,CL,2021-09-24 01:53:19
242,Pangnirtung,66.1451,-65.7125,30.7,56,30,4.56,CA,2021-09-24 01:54:47
243,Katsuura,35.1333,140.3,82.44,65,60,13.42,JP,2021-09-24 01:54:47
244,Tautira,-17.7333,-149.15,84.22,73,0,17.13,PF,2021-09-24 01:54:48
245,Inhambane,-23.865,35.3833,65.35,80,0,3.51,MZ,2021-09-24 01:54:48
246,Meteti,8.4983,-77.9786,73.89,99,100,2.17,PA,2021-09-24 01:54:48
247,Muroto,33.2833,134.15,80.64,66,23,6.98,JP,2021-09-24 01:54:49
248,Champerico,14.3,-91.9167,85.35,78,100,3.2,GT,2021-09-24 01:54:49
249,Sinop,41.7711,34.8709,47.59,85,46,5.82,TR,2021-09-24 01:54:49
250,Bethanien,-26.502,17.1583,59.11,25,9,1.25,NA,2021-09-24 01:54:50
251,Watsa,3.0372,29.5355,60.84,99,100,3.29,CD,2021-09-24 01:54:50
252,Victor Harbor,-35.5667,138.6167,60.8,61,99,16.75,AU,2021-09-24 01:54:50
253,Haines Junction,60.7522,-137.5108,40.95,87,100,2.3,CA,2021-09-24 01:53:48
254,Salinopolis,-0.6136,-47.3561,79.59,83,53,9.82,BR,2021-09-24 01:54:51
255,Stavrovo,56.1331,40.013,46.42,95,100,6.11,RU,2021-09-24 01:54:51
256,Blythe,33.6103,-114.5964,93.04,28,65,15.86,US,2021-09-24 01:54:51
257,Westport,41.1415,-73.3579,76.82,91,90,1.01,US,2021-09-24 01:54:52
258,Misratah,32.3754,15.0925,77.45,73,74,10.18,LY,2021-09-24 01:54:52
259,Mount Isa,-20.7333,139.5,82.17,15,4,10.36,AU,2021-09-24 01:54:53
260,East London,-33.0153,27.9116,63.09,60,67,15.88,ZA,2021-09-24 01:52:28
261,Kafue,-15.7691,28.1814,60.08,71,0,6.76,ZM,2021-09-24 01:54:53
262,Pisco,-13.7,-76.2167,61.02,82,0,8.05,PE,2021-09-24 01:54:53
263,Margate,51.3813,1.3862,59.7,91,3,1.01,GB,2021-09-24 01:54:54
264,Kultuk,51.7208,103.6956,51.37,73,62,3.0,RU,2021-09-24 01:54:54
265,Pavilosta,56.8879,21.1859,53.55,83,99,25.61,LV,2021-09-24 01:54:55
266,Kodinar,20.7903,70.7031,78.8,82,49,2.13,IN,2021-09-24 01:54:55
267,Grand Gaube,-20.0064,57.6608,72.0,88,22,5.01,MU,2021-09-24 01:54:55
268,Ugoofaaru,5.6667,73.0,82.58,76,75,14.74,MV,2021-09-24 01:54:56
269,Kavieng,-2.5744,150.7967,84.88,67,100,10.94,PG,2021-09-24 01:52:35
270,Dandong,40.1292,124.3947,67.26,73,100,2.19,CN,2021-09-24 01:54:56
271,Ayan,56.45,138.1667,54.95,59,0,6.24,RU,2021-09-24 01:54:56
272,Kudahuvadhoo,2.6708,72.8944,83.03,75,65,13.69,MV,2021-09-24 01:54:57
273,Usinsk,65.9939,57.5281,37.06,94,100,7.43,RU,2021-09-24 01:54:57
274,Broome,42.2506,-75.833,62.98,73,96,1.01,US,2021-09-24 01:54:57
275,Saldanha,-33.0117,17.9442,50.05,93,59,2.8,ZA,2021-09-24 01:54:58
276,Kutum,14.2,24.6667,77.05,23,96,9.1,SD,2021-09-24 01:54:58
277,Saint Anthony,45.0205,-93.218,63.79,65,20,1.01,US,2021-09-24 01:54:58
278,Puerto Baquerizo Moreno,-0.9,-89.6,68.88,85,37,9.15,EC,2021-09-24 01:54:59
279,Biak,-0.9131,122.8766,81.41,72,92,6.02,ID,2021-09-24 01:54:59
280,Kaifeng,34.7911,114.3483,72.46,94,100,11.54,CN,2021-09-24 01:54:59
281,Pointe Michel,15.25,-61.3833,82.69,73,80,9.35,DM,2021-09-24 01:55:00
282,Maraba,-5.3686,-49.1178,82.2,49,62,2.89,BR,2021-09-24 01:55:00
283,Obihiro,42.9172,143.2044,58.41,90,100,6.06,JP,2021-09-24 01:55:00
284,Half Moon Bay,37.4636,-122.4286,84.4,84,90,8.05,US,2021-09-24 01:55:01
285,Hofn,64.2539,-15.2082,42.91,69,99,17.2,IS,2021-09-24 01:55:01
286,Hasaki,35.7333,140.8333,81.0,59,21,11.54,JP,2021-09-24 01:55:01
287,Genhe,50.7833,121.5167,54.75,72,100,5.37,CN,2021-09-24 01:55:03
288,Saint Cloud,45.5608,-94.1625,61.99,66,18,4.81,US,2021-09-24 01:55:03
289,Matagalpa,12.9256,-85.9175,68.27,94,100,3.18,NI,2021-09-24 01:55:04
290,Leninsk,48.7119,45.1994,48.06,85,100,5.57,RU,2021-09-24 01:55:04
291,Kinablangan,7.6947,126.5503,86.49,64,95,5.77,PH,2021-09-24 01:55:04
292,Rafraf,37.1904,10.1837,77.31,87,70,17.27,TN,2021-09-24 01:55:05
293,La Romana,18.4273,-68.9728,80.96,94,40,0.0,DO,2021-09-24 01:53:56
294,Ribas Do Rio Pardo,-20.4431,-53.7592,78.42,33,100,5.35,BR,2021-09-24 01:55:05
