City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,Ishigaki,24.3448,124.1572,83.64,77,3,12.12,JP,2021-09-26 16:21:27
111,Pulandian,39.3953,121.9669,71.73,92,100,4.81,CN,2021-09-26 16:21:28
112,Cabo San Lucas,22.8909,-109.9124,89.51,69,20,1.43,MX,2021-09-26 16:19:37
113,Urubicha,-15.3833,-62.95,100.42,23,32,5.84,BO,2021-09-26 16:21:28
114,Caravelas,-17.7125,-39.2481,79.57,53,100,9.75,BR,2021-09-26 16:21:28
115,Victoria,22.2855,114.1577,85.21,78,59,1.01,HK,2021-09-26 16:19:58
116,Jefferson City,38.5767,-92.1735,80.58,37,1,8.99,US,2021-09-26 16:16:34
117,Venice,27.0998,-82.4543,89.08,66,40,3.44,US,2021-09-26 16:21:29
118,Waddan,29.1614,16.139,85.1,19,0,5.41,LY,2021-09-26 16:21:29
119,Brae,60.3964,-1.353,55.31,94,94,24.99,GB,2021-09-26 16:21:30
120,Saint-Philippe,-21.3585,55.7679,71.19,84,44,13.91,RE,2021-09-26 16:21:30
121,Pervomayskoye,43.919,46.7102,62.56,54,38,6.96,RU,2021-09-26 16:21:30
122,Esperance,-33.8667,121.9,56.91,84,62,14.16,AU,2021-09-26 16:21:31
123,Broome,42.2506,-75.833,67.06,60,40,1.99,US,2021-09-26 16:21:31
124,Tual,-5.6667,132.75,80.87,81,100,15.41,ID,2021-09-26 16:21:32
125,Shu,43.5983,73.7614,73.65,10,1,8.39,KZ,2021-09-26 16:21:33
126,Waingapu,-9.6567,120.2641,75.78,79,55,6.64,ID,2021-09-26 16:21:33
127,Hithadhoo,-0.6,73.0833,82.89,74,82,15.39,MV,2021-09-26 16:21:34
128,Tigil,57.8,158.6667,43.63,84,100,1.36,RU,2021-09-26 16:21:34
129,Narsaq,60.9167,-46.05,43.02,38,0,1.97,GL,2021-09-26 16:21:35
130,Nykoping,58.753,17.0079,60.66,72,0,6.91,SE,2021-09-26 16:21:35
131,Yura,-16.2522,-71.6797,73.92,12,0,10.36,PE,2021-09-26 16:21:35
132,Mar Del Plata,-38.0023,-57.5575,62.62,63,0,18.99,AR,2021-09-26 16:16:40
