,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Yumaguzino,RU,50.61,light rain,52.9041,56.3933,
214,Kibaya,TZ,66.02,broken clouds,-5.3,36.5667,
215,Schrassig,LU,63.28,few clouds,49.6058,6.2589,
216,Arlit,NE,95.5,clear sky,18.7369,7.3853,
217,Santiago Del Estero,AR,94.8,clear sky,-27.7951,-64.2615,
218,Guerrero Negro,MX,74.35,clear sky,27.9769,-114.0611,
219,Tessalit,ML,96.31,clear sky,20.1986,1.0114,
220,Buraydah,SA,83.26,clear sky,26.326,43.975,
221,Gilgit,PK,77.61,clear sky,35.9221,74.3087,
222,Eureka,US,61.25,broken clouds,40.8021,-124.1637,
223,Vanavara,RU,37.06,overcast clouds,60.34,102.2797,
224,Traverse City,US,69.84,broken clouds,44.7631,-85.6206,
225,Hastings,GB,64.15,overcast clouds,50.8552,0.5729,
226,Omboue,GA,76.84,overcast clouds,-1.5746,9.2618,
227,Shingu,JP,69.66,overcast clouds,33.7333,135.9833,
228,Nantucket,US,75.25,scattered clouds,41.2835,-70.0995,
229,Bom Jardim,BR,82.0,broken clouds,-7.7958,-35.5872,
230,Magadan,RU,39.54,overcast clouds,59.5667,150.8,
231,Bandarbeyla,SO,78.69,broken clouds,9.4942,50.8122,
232,Avera,US,81.91,clear sky,33.194,-82.5271,
233,Boa Vista,BR,93.18,broken clouds,2.8197,-60.6733,
234,Nakamura,JP,70.18,overcast clouds,32.9833,132.9333,
235,Aksarka,RU,31.44,broken clouds,66.5606,67.7975,
236,Severo-Kurilsk,RU,48.42,broken clouds,50.6789,156.125,
237,Price,US,76.71,clear sky,39.5994,-110.8107,
238,San Patricio,US,87.89,clear sky,28.017,-97.5169,
239,Ahipara,NZ,51.06,overcast clouds,-35.1667,173.1667,
240,Coffs Harbour,AU,55.36,overcast clouds,-30.3,153.1333,
242,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,
243,Taltal,CL,64.58,scattered clouds,-25.4,-70.4833,
244,Palmer,US,72.9,clear sky,42.1584,-72.3287,
245,Klaeng,TH,80.94,light rain,12.7797,101.6483,
246,Two Hills,CA,65.21,overcast clouds,53.7169,-111.7518,
247,Tuktoyaktuk,CA,32.0,light snow,69.4541,-133.0374,
248,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
249,Deputatskiy,RU,27.84,overcast clouds,69.3,139.9,
250,Havelock,US,79.05,clear sky,34.8791,-76.9013,
251,Ciudad Real,ES,77.05,broken clouds,39.0,-4.0,
252,Airai,TL,57.92,overcast clouds,-8.9266,125.4092,
253,Longyearbyen,SJ,37.24,light intensity drizzle rain,78.2186,15.6401,
254,Salalah,OM,82.2,overcast clouds,17.0151,54.0924,
256,Ajdabiya,LY,75.07,clear sky,30.7554,20.2263,
257,Borogontsy,RU,38.77,overcast clouds,62.6683,131.1683,
258,Cahir,IE,56.89,overcast clouds,52.3769,-7.9217,
259,Bathsheba,BB,84.63,broken clouds,13.2167,-59.5167,
260,Narsaq,GL,39.43,clear sky,60.9167,-46.05,
261,Sur,OM,84.38,clear sky,22.5667,59.5289,
262,Dunedin,NZ,35.8,few clouds,-45.8742,170.5036,
263,Urengoy,RU,32.2,clear sky,65.9667,78.3667,
264,Moorhead,US,80.98,clear sky,46.8739,-96.7676,
